iter	Passed	Remaining
0	4	437
1	8	399
2	12	407
3	15	376
4	19	371
5	23	370
6	28	372
7	31	366
8	35	358
9	39	359
10	42	347
11	45	332
12	47	318
13	49	306
14	52	299
15	55	289
16	57	280
17	59	272
18	62	264
19	64	257
20	67	252
21	69	245
22	70	236
23	72	228
24	73	220
25	74	213
26	76	206
27	77	200
28	79	194
29	80	188
30	82	183
31	83	178
32	85	173
33	86	168
34	88	163
35	89	159
36	91	155
37	92	151
38	94	147
39	95	143
40	97	139
41	97	135
42	99	131
43	100	128
44	102	125
45	103	121
46	105	118
47	106	115
48	108	112
49	109	109
50	111	106
51	112	103
52	114	101
53	115	98
54	116	95
55	117	92
56	119	90
57	120	87
58	122	85
59	124	82
60	126	80
61	128	78
62	129	76
63	130	73
64	132	71
65	133	68
66	135	66
67	136	64
68	138	62
69	139	59
70	141	57
71	142	55
72	144	53
73	145	51
74	147	49
75	148	46
76	150	44
77	151	42
78	153	40
79	154	38
80	156	36
81	157	34
82	158	32
83	160	30
84	161	28
85	163	26
86	164	24
87	166	22
88	167	20
89	169	18
90	170	16
91	172	14
92	173	13
93	175	11
94	176	9
95	177	7
96	179	5
97	180	3
98	182	1
99	183	0
